frame,test_file,gt_file,chamfer_distance,accuracy,completeness,hausdorff_distance,precision_10.0,recall_10.0,fscore_10.0,precision_20.0,recall_20.0,fscore_20.0,precision_30.0,recall_30.0,fscore_30.0,precision_50.0,recall_50.0,fscore_50.0,source_filename
59,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0059.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0059.ply,13.910646,12.781835,15.039456,574.868591,0.475605,0.486675,0.481077,0.793303,0.797507,0.795399,0.937142,0.90571,0.921158,0.995317,0.953672,0.97405,BlueSpeech_baseline_metrics.csv
60,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0060.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0060.ply,14.169275,13.137293,15.201257,514.91687,0.466851,0.491078,0.478658,0.784429,0.792816,0.7886,0.93392,0.90539,0.919434,0.992004,0.95439,0.972834,BlueSpeech_baseline_metrics.csv
61,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0061.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0061.ply,13.918249,12.947746,14.888751,461.764069,0.475401,0.49646,0.485703,0.791565,0.809838,0.800598,0.935324,0.914841,0.924969,0.992457,0.953824,0.972757,BlueSpeech_baseline_metrics.csv
62,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0062.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0062.ply,13.743385,12.784887,14.701882,476.883026,0.483559,0.511403,0.497091,0.796735,0.815629,0.806072,0.935037,0.91284,0.923805,0.995396,0.955188,0.974877,BlueSpeech_baseline_metrics.csv
63,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0063.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0063.ply,13.726708,12.559561,14.893854,391.877777,0.470206,0.500094,0.48469,0.810555,0.809827,0.810191,0.946749,0.916942,0.931607,0.997098,0.95516,0.975679,BlueSpeech_baseline_metrics.csv
64,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0064.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0064.ply,13.540839,12.520141,14.561537,436.617554,0.460109,0.504798,0.481418,0.820697,0.824069,0.82238,0.947893,0.921607,0.934565,0.995182,0.955639,0.97501,BlueSpeech_baseline_metrics.csv
65,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0065.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0065.ply,13.835823,12.985514,14.686131,389.741608,0.449142,0.494896,0.47091,0.802124,0.804996,0.803558,0.939757,0.909851,0.924563,0.995442,0.955931,0.975287,BlueSpeech_baseline_metrics.csv
66,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0066.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0066.ply,13.942932,13.256306,14.629558,594.550171,0.434538,0.487223,0.459375,0.793225,0.82474,0.808675,0.935759,0.918679,0.927141,0.994859,0.956645,0.975378,BlueSpeech_baseline_metrics.csv
67,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0067.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0067.ply,14.385099,13.66738,15.102818,362.492767,0.422747,0.481576,0.450248,0.772853,0.819397,0.795445,0.9295,0.914939,0.922162,0.993649,0.951793,0.972271,BlueSpeech_baseline_metrics.csv
68,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0068.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0068.ply,14.66355,13.817272,15.509827,356.488434,0.421403,0.470947,0.4448,0.767082,0.798556,0.782502,0.925501,0.902049,0.913624,0.992219,0.947437,0.969311,BlueSpeech_baseline_metrics.csv
69,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0069.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0069.ply,14.699039,13.863883,15.534195,470.828003,0.416417,0.474946,0.443759,0.766331,0.801607,0.783572,0.924173,0.901357,0.912622,0.993848,0.945985,0.969326,BlueSpeech_baseline_metrics.csv
70,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0070.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0070.ply,14.798351,14.158733,15.437968,254.029572,0.405704,0.465115,0.433383,0.754329,0.801252,0.777082,0.923913,0.905927,0.914832,0.992798,0.945859,0.96876,BlueSpeech_baseline_metrics.csv
71,BlueSpeech_UVG-CWI-DQPC_CG_15_0_168_0071.ply,BlueSpeech_UVG-CWI-DQPC_HE_15_0_168_0071.ply,14.828948,14.013962,15.643933,406.306274,0.411026,0.461093,0.434622,0.75752,0.796339,0.776444,0.925671,0.906293,0.915879,0.992911,0.946185,0.968985,BlueSpeech_baseline_metrics.csv
